Project,Status
shameel0784/ajexp,UnknownBuildSystem
yalsooni/Genius,UnknownBuildSystem
blezek/Notion,BuildFailed
Bablu5kumar0prasad6/PHFI_StudyCreation,BuildFailed
1750777402/ygz,UnknownBuildSystem
getperf/getperf,UnknownBuildSystem
TomRed97/diploma,NoStarsOrWatchers
anomi1202/Excel.Parse,NoStarsOrWatchers
anveshthedude/anveshmain2,NotAccessible
marchenkoandy/javaExcel,NoStarsOrWatchers
jiangjianshi/s-index,NoStarsOrWatchers
michalvich/apache-poi-utils,NoStarsOrWatchers
Mahesh-Bhalsing/DemoGit,NoStarsOrWatchers
orkay5126/RestAPIFWEndToEnd,NoStarsOrWatchers
olgfok/create-nested-list,NoStarsOrWatchers
YangxiaolongIt/uap,NotAccessible
ajit-cs/myrepos,NoStarsOrWatchers
codetaylor/parst,NoStarsOrWatchers
kime900822/COGS-Analysis,NoStarsOrWatchers
wjp236/trunk-parent,NotAccessible
rafalmag/GroovySandBox,NoStarsOrWatchers
davidleen/HomeDecoration,NotAccessible
cooocy/logistics_k,NoStarsOrWatchers
SlavaStartsev/standards-for-komirec,NotAccessible
VincyH/port,NoStarsOrWatchers
Valentin-Golyonko/Rare-Trade-Run-ED-IJ,NoStarsOrWatchers
guoshijie/xhs_comment,NotAccessible
feiatnokia/ThinkingInJava,NoStarsOrWatchers
arkajnag/Employee-HRM-Assignment,NoStarsOrWatchers
devbreeze/java,NoStarsOrWatchers
AllenLiuGit/poi-quickstart,NoStarsOrWatchers
ketanna/Page-Object-Model-with---Selenium-Java-TestNG,NotAccessible
manushray/SampleKreditechPOMProject,NotAccessible
benczeistvan/KIR,NoStarsOrWatchers
vtphap/SeleniumInJava,NotAccessible
galleon/SparkExtract,NoStarsOrWatchers
andreikulpin/p20161104,NoStarsOrWatchers
josdem/java-workshop,NoStarsOrWatchers
JasmineQian/UI_auto,NotAccessible
zyw309039207/oatmeal,NoStarsOrWatchers
LucioBevilacqua/ReadXLS,NoStarsOrWatchers
striderarun/events-management,NoStarsOrWatchers
minziappa/spring_boot_sample,NoStarsOrWatchers
mindingmybusiness/amazonTestFramework,NoStarsOrWatchers
visallo/visallo,NotAccessible
panache-chinmay/hybridframework,NoStarsOrWatchers
pccwhk/hkmortgage,NoStarsOrWatchers
mashariqk/excel2tab,NoStarsOrWatchers
qiaoxun/learnGit,NotAccessible
mitsantosh/TestRepo,NoStarsOrWatchers
darkamenosa/print,NoStarsOrWatchers
mohammad-yazdani/chiefanalytics,NoStarsOrWatchers
Wandering/statistics,NoStarsOrWatchers
HarshithTS/HHH,NoStarsOrWatchers
EliseLodewyckx/ProjectBibliothouris,NoStarsOrWatchers
rajikos123/HybridRepo,NotAccessible
davidsusu/simple-spreadsheet-writer,NoStarsOrWatchers
darkmatterjinx/darkmatter,NotAccessible
LwNeighbor/ruoyi,NoStarsOrWatchers
jasonlee529/RoomSpider,NoStarsOrWatchers
pudovika/parser,NoStarsOrWatchers
fatalwing/utils,NoStarsOrWatchers
Joycai/FileUtil,NoStarsOrWatchers
gorigam123/selenium,NoStarsOrWatchers
AnkurBaliyan/MyProject,NoStarsOrWatchers
vuhoangjohn/demo-xlsx-to-csv,NoStarsOrWatchers
doublecancel/personal,NotAccessible
ym451808578/poi,NotAccessible
a854363956/tx-management-tool-extjs,NoStarsOrWatchers
uuilee/matcho,NoStarsOrWatchers
deepthimurikinati/gradlemain,NoStarsOrWatchers
manasay/seleniumGitHub,NoStarsOrWatchers
bdas9261/project,NoStarsOrWatchers
kowserparvez/Framework1EXMPL,NoStarsOrWatchers
KevinLiu2333/myproject,NoStarsOrWatchers
nitinarv/UniResultExcelReader,NotAccessible
MyDogisMike/BloodDonation,NoStarsOrWatchers
Aksh2/config_portal,NoStarsOrWatchers
HYisen/DocumentGenerator,NoStarsOrWatchers
marwilc/botIndexerMaven,NoStarsOrWatchers
